Frequency,# of Items,%
1270,4,0.0000013
1271,4,0.0000013
1272,4,0.0000013
1273,7,0.0000023
1274,6,0.0000020
1275,3,0.0000010
1276,4,0.0000013
1277,6,0.0000020
1278,5,0.0000017
1279,3,0.0000010
1280,6,0.0000020
1281,2,0.0000007
1282,2,0.0000007
1283,7,0.0000023
1284,7,0.0000023
1285,1,0.0000003
1286,4,0.0000013
1287,3,0.0000010
1288,2,0.0000007
1289,6,0.0000020
1290,4,0.0000013
1291,4,0.0000013
1292,5,0.0000017
1293,2,0.0000007
1294,6,0.0000020
1295,4,0.0000013
1296,5,0.0000017
1297,2,0.0000007
1298,4,0.0000013
1299,4,0.0000013
1300,5,0.0000017
1301,5,0.0000017
1302,6,0.0000020
1303,4,0.0000013
1304,6,0.0000020
1305,2,0.0000007
1306,9,0.0000030
1307,5,0.0000017
1308,7,0.0000023
1309,5,0.0000017
1310,1,0.0000003
1311,1,0.0000003
1312,2,0.0000007
1313,8,0.0000027
1314,2,0.0000007
1315,2,0.0000007
1316,7,0.0000023
1317,2,0.0000007
1318,4,0.0000013
1319,12,0.0000040
1320,3,0.0000010
1321,5,0.0000017
1322,5,0.0000017
1323,4,0.0000013
1324,1,0.0000003
1325,6,0.0000020
1326,2,0.0000007
1327,8,0.0000027
1328,2,0.0000007
1329,1,0.0000003
1330,4,0.0000013
1331,4,0.0000013
1332,2,0.0000007
1333,3,0.0000010
1334,2,0.0000007
1335,4,0.0000013
1336,2,0.0000007
1337,3,0.0000010
1338,2,0.0000007
1339,3,0.0000010
1340,5,0.0000017
1341,1,0.0000003
1342,3,0.0000010
1343,4,0.0000013
1344,3,0.0000010
1345,2,0.0000007
1346,3,0.0000010
1347,4,0.0000013
1348,3,0.0000010
1349,4,0.0000013
1350,5,0.0000017
1351,9,0.0000030
1352,3,0.0000010
1353,6,0.0000020
